modo,hilos,N,frames,fps,computo_ms,dibujo_ms
SECUENCIAL,1,1000,74775,7477.5000,0.0089,0.1230
PARALELO,8,1000,67860,6786.0000,0.0200,0.1254
SECUENCIAL,1,5000,46570,4657.0000,0.0483,0.1644
PARALELO,8,5000,15898,1589.8000,0.1725,0.4534
SECUENCIAL,1,20000,9379,937.9000,0.2884,0.7722
PARALELO,8,20000,8432,843.2000,0.4322,0.7498
SECUENCIAL,1,50000,5469,546.7906,0.7385,1.0858
PARALELO,8,50000,4309,430.8569,1.0083,1.3061
SECUENCIAL,1,100000,3082,308.2000,1.5507,1.6897
PARALELO,8,100000,2644,264.3471,1.6387,2.1365
SECUENCIAL,1,200000,1328,132.7867,3.6287,3.8964
PARALELO,8,200000,1539,153.9000,2.7133,3.7777
SECUENCIAL,1,200000,1302,130.1219,3.7264,3.9522
PARALELO,1,200000,1333,133.2600,3.8060,3.6919
PARALELO,2,200000,1495,149.4104,3.0623,3.6272
PARALELO,4,200000,1594,159.4000,2.6719,3.5963
PARALELO,8,200000,1512,151.2000,2.8097,3.7989
PARALELO,16,200000,1446,144.5133,3.0021,3.9115
PARALELO,32,200000,1390,139.0278,3.0690,4.1191
