modo,hilos,N,frames,fps,fisica_ms,render_ms
SECUENCIAL,1,1000,23291,2911.3750,0.0040,0.3323
PARALELO,8,1000,7223,902.8750,0.3116,0.7884
SECUENCIAL,1,5000,9194,1149.2500,0.0209,0.8468
PARALELO,8,5000,7587,948.3750,0.1531,0.8985
SECUENCIAL,1,20000,1992,248.9378,0.1041,3.9096
PARALELO,8,20000,2352,293.9633,0.1833,3.2002
SECUENCIAL,1,50000,1907,136.3117,0.2297,7.1071
PARALELO,8,50000,1904,136.0194,0.2288,7.1251
SECUENCIAL,1,100000,845,60.4694,0.4931,16.0846
PARALELO,8,100000,857,61.3985,0.2972,16.0310
SECUENCIAL,1,200000,410,29.2899,1.0304,33.2804
PARALELO,8,200000,415,29.6450,0.4561,33.4483
SECUENCIAL,1,200000,415,29.6598,0.9989,32.8884
PARALELO,1,200000,414,29.5567,1.1016,32.9099
PARALELO,2,200000,417,29.7284,0.6829,33.1268
PARALELO,4,200000,408,29.1658,0.5596,33.8964
PARALELO,8,200000,421,30.1101,0.4640,32.9221
PARALELO,16,200000,419,29.9864,0.5177,32.9970
PARALELO,32,200000,418,29.8699,0.6490,32.9959
